Year,"Manufacturing, value added (% of GDP)",Gdp per capita,Rural population (% of total population),Urban Population,Inflation,Export
1960,14.75012,82.1886,82.076,17.924,1.78,4.46315646
1961,15.35384,85.3543,81.968,18.032,1.7,4.30358619
1962,15.8633,89.88176,81.782,18.218,3.63,4.16897528
1963,15.75239,101.1264,81.595,18.405,2.985,4.28050338
1964,14.85074,115.5375,81.405,18.595,13.36,3.72555117
1965,15.01091,119.3189,81.215,18.785,9.47,3.30747278
1966,14.50399,89.9973,81.023,18.977,10.8,4.14255066
1967,13.23186,96.33914,80.829,19.171,13.6,4.034445
1968,13.52279,99.87596,80.634,19.366,3.24,4.03877101
1969,14.14647,107.6223,80.438,19.562,-0.58,3.71384282
1970,14.45655,112.4345,80.24,19.76,5.09,3.78282506
1971,14.98229,118.6032,80.009,19.991,3.08,3.66720522
1972,15.10255,122.9819,79.679,20.321,6.44,4.02748926
1973,15.01529,143.7787,79.347,20.653,16.94,4.20876319
1974,16.34591,163.4781,79.009,20.991,28.6,4.831321
1975,15.83849,158.0362,78.668,21.332,5.75,5.64706216
1976,16.26589,161.0921,78.323,21.677,-7.63,6.68651286
1977,16.08087,186.2135,77.974,22.026,8.31,6.38317181
1978,17.09644,205.6934,77.621,22.379,2.52,6.31482523
1979,17.85203,224.001,77.264,22.736,6.28,6.74963816
1980,16.75238,266.5779,76.902,23.098,11.35,6.13955113
1981,16.77044,270.4706,76.583,23.417,13.11,5.93602663
1982,16.37,274.1113,76.353,23.647,7.89,5.98329985
1983,16.66445,291.2381,76.121,23.879,11.87,5.83762942
1984,16.7078,276.668,75.887,24.113,8.32,6.28340139
1985,16.41801,296.4352,75.652,24.348,5.56,5.254555
1986,16.22158,310.4659,75.415,24.585,8.73,5.19622166
1987,16.20955,340.4168,75.177,24.823,8.8,5.60458088
1988,16.10153,354.1492,74.937,25.063,9.38,6.03521975
1989,16.90285,346.1129,74.695,25.305,7.07,7.01613028
1990,16.5976,367.5566,74.453,25.547,8.97,7.05335023
1991,15.67626,303.0556,74.222,25.778,13.87,8.49424077
1992,15.8008,316.9539,74.016,25.984,11.79,8.84292693
1993,15.91571,301.159,73.809,26.191,6.33,9.83421745
1994,16.76414,346.103,73.601,26.399,10.25,9.88808492
1995,17.86585,373.7665,73.393,26.607,10.22,10.843968
1996,17.59634,399.9501,73.183,26.817,8.98,10.3851693
1997,16.51858,415.4938,72.972,27.028,7.16,10.6907173
1998,15.71932,413.2989,72.76,27.24,13.23,11.0184692
1999,15.18054,441.9988,72.547,27.453,4.67,11.4520646
2000,15.92702,443.3142,72.333,27.667,4.01,12.9972363
2001,15.30702,451.573,72.082,27.918,3.78,12.5583796
2002,15.5587,470.9868,71.756,28.244,4.3,14.2643839
2003,15.58739,546.7266,71.428,28.572,3.81,14.9479139
2004,15.82725,627.7742,71.097,28.903,3.77,17.859125
2005,15.97302,714.861,70.765,29.235,4.25,19.6052467
2006,17.30365,806.7533,70.431,29.569,5.8,21.2679414
2007,16.86457,1028.335,70.094,29.906,6.37,20.7996997
2008,17.09867,998.5223,69.754,30.246,8.35,24.0973573
2009,17.14358,1101.961,69.413,30.587,10.88,20.4005194
2010,17.02993,1357.564,69.07,30.93,11.998,22.4009332
2011,16.13934,1458.104,68.724,31.276,8.86,24.5404113
2012,15.81692,1443.882,68.369,31.631,9.31,24.5344307
2013,15.25302,1449.61,68.006,31.994,11.06,25.4308613
2014,15.06557,1573.886,67.634,32.366,6.67,22.967963
2015,15.58385,1605.605,67.253,32.747,4.91,19.8131892
2016,15.16224,1732.554,66.864,33.136,4.95,19.1582349
2017,15.01824,1980.667,66.4,33.6,3.33,18.7917648
2018,14.88153,1996.915,65.97,34.03,3.94,19.9278286
2019,13.47362,2100.751,65.53,34.47,3.73,18.6909827
2020,13.68339,1927.708,65.074,34.926,6.62,18.7088987
2021,13.97577,2256.594,64.6,35.4,5.13,21.3985342
